"PRESTATAIRE","TYPE","ZONE_GEO","LIGNES","VISITES","PATIENTS","DEPENSES_TOTALES","FRAIS_REELS","REJETS_TOTAL","COUT_MOYEN_VISITE","COUT_MOYEN_PATIENT","TAUX_REJET","FREQUENCE_BRUTE","PART_CHRONIQUES","MEDIANE_COUT_VISITE","MEDIANE_FREQUENCE","MEDIANE_REJET","INDICE_COUT","INDICE_FREQUENCE","INDICE_REJET","PROFIL_RISQUE","INDICE_COUT_AJUSTE","INDICE_FREQ_AJUSTE","LIFT_RADIO","LIFT_LABO","LIFT_MULTI","FLAG_DEMANDE_INDUITE","SCORE_COUT","SCORE_FREQ","SCORE_ACTES","SCORE_REJET","SCORE_ANOMALIE_BRUT","SCORE_ANOMALIE","VOL_PERCENTILE","SCORE_ECONOMIE","SCORE_SAIN","SCORE_RESEAU_BRUT","SCORE_RESEAU","DECISION"
"HOPITAL BAPTISTE DE FERKESSEDOUGOU","Hopital","HORS-ABIDJAN",6,3,3,147500,120000,27500,49166.6666666667,49166.6666666667,0.229166666666667,1,0,15500,1,0,1.1480290638593,0.0815903054448871,0,"Standard",1.1480290638593,0.0815903054448871,1,1,1,0,0.574014531929648,0.0407951527224436,0.333333333333333,0,0.284442905395627,28.4442905395627,0.430593358737071,0.425985468070352,0.715557094604373,0.542735696817304,54.2735696817304,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL CATHOLIQUE SAINT JOSEPH MOSCATI","Hopital","HORS-ABIDJAN",45,33,22,1745225,1586475,158750,52885.6060606061,79328.4090909091,0.100064608644952,1.5,0,15500,1,0,1.23486534543842,0.122385458167331,0,"Standard",1.23486534543842,0.122385458167331,1,1,1,0,0.617432672719211,0.0611927290836653,0.333333333333333,0,0.303587620540863,30.3587620540863,0.836145890038106,0.382567327280789,0.696412379459137,0.598821060703592,59.8821060703592,"SURVEILLER"
"HOPITAL DE LA POLICE NATIONALE","Hopital","ABIDJAN",3,1,1,75000,75000,0,75000,75000,0,1,0,15500,1,0,1.75123077537859,0.0815903054448871,0,"Coût Élevé",1.75123077537859,0.0815903054448871,1,1,1,0,0.875615387689293,0.0407951527224436,0.333333333333333,0,0.374923162123521,37.4923162123521,0.33968426782798,0.124384612310707,0.625076837876479,0.367721433640471,36.7721433640471,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL","Hopital","ABIDJAN",2,2,2,13600,13600,0,6800,6800,0,1,0,15500,1,0,0.158778256967658,0.0815903054448871,0,"Économique",0.158778256967658,0.0815903054448871,1,1,1,0,0.0793891284838292,0.0407951527224436,0.333333333333333,0,0.136055284361882,13.6055284361882,0.109417528579205,0.920610871516171,0.863944715638118,0.735705740577557,73.5705740577557,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL DE ANYAMA","Hopital","ABIDJAN",54,51,33,894000,646000,248000,17529.4117647059,27090.9090909091,0.38390092879257,1.54545454545455,0,15500,1,0,0.409307271421818,0.126094108414826,0,"Économique",0.409307271421818,0.126094108414826,1,1,1,0,0.204653635710909,0.0630470542074128,0.333333333333333,0,0.180310206975497,18.0310206975497,0.741426238432226,0.795346364289091,0.819689793024503,0.794299710611883,79.4299710611883,"PRIVILÉGIER"
"HOPITAL GENERAL DE BONGOUANOU","Hopital","HORS-ABIDJAN",2,2,1,12500,12500,0,6250,12500,0,2,0,15500,1,0,0.145935897948215,0.163180610889774,0,"Économique",0.145935897948215,0.163180610889774,1,1,1,0,0.0729679489741077,0.0815903054448871,0.333333333333333,0,0.146367476325698,14.6367476325698,0.101252041371802,0.927032051025892,0.853632523674302,0.732516238154438,73.2516238154438,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL DE DANANE","Hopital","HORS-ABIDJAN",6,5,5,31000,31000,0,6200,6200,0,1,0,15500,1,0,0.14476841076463,0.0815903054448871,0,"Économique",0.14476841076463,0.0815903054448871,1,1,1,0,0.0723842053823149,0.0407951527224436,0.333333333333333,0,0.133953807431428,13.3953807431428,0.222101252041372,0.927615794617685,0.866046192568573,0.761885045282777,76.1885045282777,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL DE DAOUKRO","Hopital","HORS-ABIDJAN",1,1,1,12500,12500,0,12500,12500,0,1,0,15500,1,0,0.291871795896431,0.0815903054448871,0,"Économique",0.291871795896431,0.0815903054448871,1,1,1,0,0.145935897948215,0.0407951527224436,0.333333333333333,0,0.156019315201198,15.6019315201198,0.101252041371802,0.854064102051785,0.843980684798802,0.699468323014595,69.9468323014595,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL DE FERKE","Hopital","HORS-ABIDJAN",5,3,3,46500,42500,4000,15500,15500,0.0941176470588235,1,0,15500,1,0,0.361921026911574,0.0815903054448871,0,"Économique",0.361921026911574,0.0815903054448871,1,1,1,0,0.180960513455787,0.0407951527224436,0.333333333333333,0,0.166526699853469,16.6526699853469,0.277082199237888,0.819039486544213,0.833473300146531,0.716421554523875,71.6421554523875,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL DE GAGNOA","Hopital","HORS-ABIDJAN",7,5,5,48950,48950,0,9790,9790,0,1,0.142857142857143,15500,1,0,0.209809611380315,0.0783250428189295,0,"Économique",0.209809611380315,0.0783250428189295,1,1,1,0,0.104904805690158,0.0391625214094648,0.333333333333333,0,0.143220198129887,14.3220198129887,0.280348394120849,0.895095194309842,0.856779801870113,0.756819677296152,75.6819677296152,"SURVEILLER (FAIBLE VOLUME)"
