"CLASSE_AGE","SEXE","FILIATION","AFFECTION_CHR_NUM","ZONE_GEO","TYPE_CONTRAT","TAUX_COUVERTURE","ANNEE","pp_totale","pp_ic_low","pp_ic_high","se_pp_boot","pp_p75","pp_p90","cv_prime","chargement_75","chargement_90"
"9","M","ASSURÉ PRINCIPAL","1","ABIDJAN","COLLECTIF",0.8,"2025",374569.96261846,341218.250079518,391550.902334702,22683.8906458929,389935.070976223,391012.291881875,0.0605598230229659,0.0410206634038444,0.0438965504560845
"10","M","ASSURÉ PRINCIPAL","1","ABIDJAN","COLLECTIF",0.8,"2025",660967.180260792,623739.262934723,690720.721737783,29741.3305723912,683439.930495409,688293.791323658,0.0449966828317503,0.0339997974267795,0.0413433705620357
"1","F","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",442348.1508015,399724.062418255,485020.030188409,39955.2427878168,482576.424089088,484205.494821969,0.0903253302074871,0.0909425600959277,0.0946253396665644
"2","F","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",408312.275954749,385600.914981698,452332.674254469,28606.7433332161,404512.95467378,436392.767727573,0.0700609435910921,-0.00930494012722252,0.0687720977949136
"3","F","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",504591.610762264,434652.729328125,660527.347866716,99913.6122105698,484208.198595052,601754.298109495,0.198008865148659,-0.0403958602015189,0.192557080369315
"4","F","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",575607.130333192,370932.024363256,985709.517299294,273300.183575163,646302.13416997,872573.722922853,0.47480333229535,0.122818151672055,0.515918891445561
"5","F","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",758521.012222903,571050.78437152,954957.252366474,156434.089208465,852461.932077163,920792.14560337,0.206235670057475,0.123847485225174,0.213930966664878
"6","F","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",392898.464250503,352713.595528971,421258.050575684,28022.2520950782,408927.443300806,417147.848150725,0.0713218672120131,0.0407967465102731,0.061719212739812
"7","F","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",348693.304732036,312407.442221099,373065.855056858,27748.6704151672,372181.171896873,372770.960670197,0.0795790169716378,0.0673596735185005,0.0690510990931226
"8","F","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",462130.09890945,439503.48388227,483853.352569785,17831.3877587346,472109.837397781,479938.847512451,0.0385852118284738,0.0215950843969745,0.0385362231220748
"9","F","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",456366.167924609,419336.463255604,476264.483018342,25056.7348381877,474678.891289153,475735.952441946,0.0549048912896781,0.0401272588803502,0.0424435154898165
"10","F","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",803117.474155025,763200.379390563,839882.749065369,36104.8553827081,833178.974735908,837648.157622215,0.044955883223304,0.0374310129567423,0.0429958064398002
"1","M","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",342515.894922639,313541.17349772,381875.068853731,31321.1539107249,365557.088706232,376435.742137898,0.091444380757276,0.0672704365699494,0.0990314543589876
"2","M","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",317782.834445523,301846.356910823,348839.257731487,20786.7586878606,323921.429563293,340533.315008755,0.0654118361179891,0.0193169499808889,0.0715912821500491
"3","M","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",222639.184356815,197704.698200351,263382.038051426,27257.0738266928,226429.880449106,251064.652183986,0.122427118592965,0.0170261856790489,0.12767504475589
"4","M","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",218905.279955445,194686.013782561,252546.232451362,24003.7404273208,229195.962953554,244762.809285426,0.109653547105883,0.0470097523467829,0.118121999319723
"5","M","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",233337.994685135,217396.987342889,253202.472204798,14411.9881911508,237601.556686138,248002.167031912,0.0617644297946344,0.0182720435510582,0.0628451974422974
"6","M","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",222240.120055644,209874.430438227,239889.880561433,12556.8305003765,227797.416210329,235859.059111065,0.0565011866319753,0.0250058187211825,0.0612802902194779
"7","M","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",275577.827700533,246949.592108204,297664.587682891,23442.0713099232,292506.498981233,295945.224782338,0.0850651574748509,0.0614297290241204,0.0739079673127324
"8","M","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",369674.945434981,350747.227008255,389134.789197112,15029.0958238635,371857.255885685,383375.611426636,0.040654894277943,0.00590332257474406,0.0370613863905049
"9","M","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",364711.657930431,335021.063090697,381292.890745192,19655.8984130626,374115.140179259,378900.307223215,0.0538943518411248,0.0257833333384198,0.0389037448742311
"10","M","CONJOINT","1","ABIDJAN","COLLECTIF",0.8,"2025",639428.82984529,602477.798515128,667071.229733736,28883.6849100629,666756.509452257,666966.322973243,0.0451710707461398,0.0427376407372484,0.0430657672013569
